product_id,product_name,category,unit_cost,unit_price,stock_quantity
PROD-101,UltraBook Pro 15,Electronics,850.00,1299.99,45
PROD-102,Wireless Noise-Canceling Headphones,Electronics,120.00,249.99,110
PROD-103,4K UHD Ergonomic Monitor 27in,Electronics,220.00,389.50,60
PROD-104,Mechanical RGB Keyboard,Accessories,45.00,89.99,140
PROD-105,Ergonomic Vertical Mouse,Accessories,25.00,59.99,180
PROD-106,Smart Fitness Watch v3,Electronics,95.00,179.99,85
PROD-107,Thunderbolt Docking Station,Accessories,110.00,199.99,50
PROD-108,Portable NVMe SSD 1TB,Electronics,55.00,109.99,130
PROD-109,Ergonomic Mesh Office Chair,Furniture,140.00,299.00,35
PROD-110,Electric Height-Adjustable Desk,Furniture,260.00,499.00,20
PROD-111,Smart LED Desk Lamp,Office Supplies,18.00,42.50,95
PROD-112,Noise-Dampening Desk Pad,Accessories,12.00,29.99,220
PROD-113,HD Pro Webcam 1080p,Electronics,35.00,79.99,115
PROD-114,Steel 3-Drawer File Cabinet,Furniture,75.00,159.00,40
PROD-115,Eco Gel Pens Pack of 20,Office Supplies,4.50,14.99,350
