employee_id,month,days_present,days_absent,overtime_hours
E001,2024-01-01,22,0,0.3
E001,2024-02-01,18,1,8.8
E001,2024-03-01,21,0,
E002,2024-01-01,17,1,2.8
E002,2024-02-01,21,1,8.6
E002,2024-03-01,20,1,5.4
E003,2024-01-01,17,1,8.4
E003,2024-02-01,18,1,11.5
E003,2024-03-01,17,3,1.2
E004,2024-01-01,21,2,9.7
E004,2024-02-01,21,0,11.7
E004,2024-03-01,21,2,10.0
E005,2024-01-01,19,1,
E005,2024-02-01,18,2,11.8
E005,2024-03-01,17,3,3.3
E006,2024-01-01,19,1,4.4
E006,2024-02-01,19,0,7.3
E006,2024-03-01,22,1,2.0
E007,2024-01-01,22,1,8.2
E007,2024-02-01,17,1,9.9
E007,2024-03-01,20,2,0.8
E008,2024-01-01,21,2,2.6
E008,2024-02-01,22,3,1.7
E008,2024-03-01,22,2,9.0
E009,2024-01-01,21,3,4.3
E009,2024-02-01,18,3,
E009,2024-03-01,17,1,7.5
E010,2024-01-01,20,0,4.6
E010,2024-02-01,20,2,11.7
E010,2024-03-01,17,0,8.2
E011,2024-01-01,19,2,1.3
E011,2024-02-01,20,0,11.4
E011,2024-03-01,19,1,6.1
E012,2024-01-01,22,2,10.1
E012,2024-02-01,18,1,4.5
E012,2024-03-01,21,0,7.2
E013,2024-01-01,17,2,10.5
E013,2024-02-01,19,1,0.7
E013,2024-03-01,17,0,8.8
E014,2024-01-01,21,1,1.5
E014,2024-02-01,21,1,3.2
E014,2024-03-01,20,1,11.1
E015,2024-01-01,22,1,8.6
E015,2024-02-01,22,2,5.3
E015,2024-03-01,17,1,2.7
E016,2024-01-01,21,1,
E016,2024-02-01,22,0,2.7
E016,2024-03-01,19,0,6.2
E017,2024-01-01,20,1,6.5
E017,2024-02-01,21,3,2.9
E017,2024-03-01,20,1,1.1
E018,2024-01-01,19,3,4.9
E018,2024-02-01,17,0,0.7
E018,2024-03-01,17,1,2.3
E019,2024-01-01,18,3,2.2
E019,2024-02-01,17,3,9.7
E019,2024-03-01,17,0,7.8
E020,2024-01-01,17,0,11.1
E020,2024-02-01,18,3,5.8
E020,2024-03-01,20,0,
E021,2024-01-01,20,2,11.1
E021,2024-02-01,19,3,8.4
E021,2024-03-01,21,3,1.9
E022,2024-01-01,17,0,9.0
E022,2024-02-01,21,3,6.0
E022,2024-03-01,18,0,11.5
E023,2024-01-01,18,0,7.1
E023,2024-02-01,18,3,1.4
E023,2024-03-01,18,0,7.4
E024,2024-01-01,21,2,11.2
E024,2024-02-01,22,2,2.9
E024,2024-03-01,22,2,5.5
E025,2024-01-01,17,0,5.5
E025,2024-02-01,17,0,6.5
E025,2024-03-01,18,2,10.6
